"ID"	"Cell State"
"HKB0007_3005_T"	"S01"
"HKB0040_3002_T"	"S01"
"HKB0054_3000_T"	"S01"
"HKB0069_3000_T"	"S01"
"HKB0074_3000_T"	"S01"
"HKB0079_3006_T"	"S01"
"HKB0082_3006_T"	"S01"
"HKB0098_3005_T"	"S01"
"HKB0129_3000_T"	"S01"
"HKB0186_3000_T"	"S01"
"HKB0214_3006_T"	"S01"
"HKB0650_3000_T"	"S01"
"HKB0659_3000_T"	"S01"
"HKB0718_3000_T"	"S01"
"HKB0751_3000_T"	"S01"
"HKB0752_3000_T"	"S01"
"HKB0008_3006_T"	"S02"
"HKB0064_3004_T"	"S02"
"HKB0067_3006_T"	"S02"
"HKB0091_3001_T"	"S02"
"HKB0120_3000_T"	"S02"
"HKB0167_3006_T"	"S02"
"HKB0194_3006_T"	"S02"
"HKB0220_3000_T"	"S02"
"HKB0573_3000_T"	"S02"
"HKB0674_3000_T"	"S02"
"HKB0710_3000_T"	"S02"
"HKB0736_3000_T"	"S02"
"HKB0210_3006_T"	"S03"
"HKB0748_3000_T"	"S03"
"HKB0210_3000_N"	"S03"
"HKB0233_3000_N"	"S03"
"HKB0036_3006_T"	"S04"
"HKB0044_3006_T"	"S04"
"HKB0106_3006_T"	"S04"
"HKB0160_3000_T"	"S05"
"HKB0004_3000_N"	"S05"
"HKB0005_3000_N"	"S05"
"HKB0006_3000_N"	"S05"
"HKB0019_3000_N"	"S05"
"HKB0023_3000_N"	"S05"
"HKB0033_3000_N"	"S05"
"HKB0035_3000_N"	"S05"
"HKB0036_3000_N"	"S05"
"HKB0038_3000_N"	"S05"
"HKB0040_3000_N"	"S05"
"HKB0049_3000_N"	"S05"
"HKB0050_3000_N"	"S05"
"HKB0052_3004_N"	"S05"
"HKB0064_3000_N"	"S05"
"HKB0067_3000_N"	"S05"
"HKB0074_3003_N"	"S05"
"HKB0094_3000_N"	"S05"
"HKB0096_3000_N"	"S05"
"HKB0097_3004_N"	"S05"
"HKB0098_3000_N"	"S05"
"HKB0102_3000_N"	"S05"
"HKB0106_3000_N"	"S05"
"HKB0109_3000_N"	"S05"
"HKB0115_3000_N"	"S05"
"HKB0120_3002_N"	"S05"
"HKB0121_3000_N"	"S05"
"HKB0122_3002_N"	"S05"
"HKB0123_3000_N"	"S05"
"HKB0124_3000_N"	"S05"
"HKB0129_3002_N"	"S05"
"HKB0132_3000_N"	"S05"
"HKB0133_3000_N"	"S05"
"HKB0137_3000_N"	"S05"
"HKB0143_3000_N"	"S05"
"HKB0149_3000_N"	"S05"
"HKB0150_3000_N"	"S05"
"HKB0155_3003_N"	"S05"
"HKB0157_3000_N"	"S05"
"HKB0158_3000_N"	"S05"
"HKB0159_3000_N"	"S05"
"HKB0160_3001_N"	"S05"
"HKB0161_3000_N"	"S05"
"HKB0162_3000_N"	"S05"
"HKB0164_3000_N"	"S05"
"HKB0167_3000_N"	"S05"
"HKB0168_3000_N"	"S05"
"HKB0179_3000_N"	"S05"
"HKB0186_3002_N"	"S05"
"HKB0194_3000_N"	"S05"
"HKB0196_3000_N"	"S05"
"HKB0198_3000_N"	"S05"
"HKB0207_3000_N"	"S05"
"HKB0211_3000_N"	"S05"
"HKB0214_3000_N"	"S05"
"HKB0219_3000_N"	"S05"
"HKB0220_3003_N"	"S05"
"HKB0221_3000_N"	"S05"
"HKB0222_3000_N"	"S05"
"HKB0225_3000_N"	"S05"
"HKB0226_3000_N"	"S05"
"HKB0227_3000_N"	"S05"
"HKB0538_3000_N"	"S05"
"HKB0562_3000_N"	"S05"
"HKB0571_3000_N"	"S05"
"HKB0574_3000_N"	"S05"
"HKB0577_3000_N"	"S05"
"HKB0583_3000_N"	"S05"
"HKB0597_3000_N"	"S05"
"HKB0618_3000_N"	"S05"
"HKB0636_3000_N"	"S05"
"HKB0648_3000_N"	"S05"
"HKB0651_3000_N"	"S05"
"HKB0657_3000_N"	"S05"
"HKB0663_3000_N"	"S05"
"HKB0666_3000_N"	"S05"
"HKB0672_3000_N"	"S05"
"HKB0710_3001_N"	"S05"
"HKB0718_3001_N"	"S05"
"HKB0719_3001_N"	"S05"
"HKB0722_3001_N"	"S05"
"HKB0744_3001_N"	"S05"
"HKB0748_3001_N"	"S05"
"HKB0751_3001_N"	"S05"
"HKB0752_3001_N"	"S05"
"HKB0089_3001_T"	"S06"
"HKB0092_3000_T"	"S06"
"HKB0143_3006_T"	"S06"
"HKB0158_3006_T"	"S06"
"HKB0162_3006_T"	"S06"
"HKB0164_3006_T"	"S06"
"HKB0182_3006_T"	"S06"
"HKB0540_3000_T"	"S06"
"HKB0599_3000_T"	"S06"
"HKB0668_3000_T"	"S06"
"HKB0692_3000_T"	"S06"
"HKB0721_3000_T"	"S06"
